episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_track_sum,r_alive_sum,r_jerk_sum,term_reason
295,51657,132.57,199,93.5,0,0.4428,0.3817,112.669,19.9,0.0,
296,51792,110.02,135,100.0,0,0.4467,0.45,106.518,13.5,0.0,altitude_high
297,51944,138.84,152,100.0,0,0.3662,0.4097,133.637,15.2,0.0,altitude_high
298,52144,110.57,200,100.0,0,0.4344,0.3685,100.569,20.0,0.0,altitude_high
299,52316,57.25,172,80.2,0,0.3396,0.3601,40.051,17.2,0.0,
300,52452,90.09,136,100.0,0,0.4372,0.4223,86.49,13.6,0.0,altitude_high
301,52634,137.1,182,100.0,0,0.4603,0.5001,118.903,18.2,0.0,
302,52825,128.92,191,100.0,0,0.5322,0.4544,109.816,19.1,0.0,
303,52982,93.83,157,93.0,0,0.4483,0.4667,78.132,15.7,0.0,
304,53150,134.75,168,100.0,0,0.4774,0.4548,127.949,16.8,0.0,altitude_high
305,53335,133.94,185,94.1,0,0.4655,0.46,115.443,18.5,0.0,
306,53547,61.76,212,74.1,0,0.4486,0.4376,50.564,21.2,0.0,altitude_low
307,53715,152.82,168,100.0,0,0.5185,0.4425,146.024,16.8,0.0,altitude_high
308,53910,162.29,195,96.9,0,0.5431,0.3817,142.786,19.5,0.0,
